,2023-03-01 00:45:01,2023-03-01 00:45:01.1,2023-03-01 00:45:01.2,2023-03-01 01:05:12,2023-03-01 01:05:12.1,2023-03-01 01:05:12.2,2023-03-01 01:12:51,2023-03-01 01:12:51.1,2023-03-01 01:12:51.2,2023-03-01 01:12:51.3,2023-03-01 01:12:51.4,2023-03-01 01:22:37,2023-03-01 01:22:37.1,2023-03-01 01:22:37.2,2023-03-01 01:22:37.3,2023-03-01 01:22:37.4,2023-03-01 01:41:51,2023-03-01 01:41:51.1,2023-03-01 01:41:51.2,2023-03-01 01:41:51.3,2023-03-01 01:48:46,2023-03-01 01:58:00,2023-03-01 01:58:00.1,2023-03-01 01:58:00.2,2023-03-01 02:04:44,2023-03-01 02:04:44.1,2023-03-01 02:04:44.2,2023-03-01 02:10:50,2023-03-01 02:10:50.1,2023-03-01 02:10:50.2,2023-03-01 02:15:50,2023-03-01 02:15:50.1,2023-03-01 02:15:50.2,2023-03-01 02:15:50.3,2023-03-01 02:15:50.4,2023-03-01 02:25:01,2023-03-01 02:25:01.1,2023-03-01 02:25:01.2,2023-03-01 02:25:01.3,2023-03-01 02:25:01.4,2023-03-01 19:41:11,2023-03-01 19:41:11.1,2023-03-01 19:41:11.2,2023-03-01 19:41:11.3,2023-03-01 19:41:11.4,2023-03-01 19:52:00,2023-03-01 19:52:00.1,2023-03-01 19:52:00.2,2023-03-01 19:58:17,2023-03-01 19:58:17.1,2023-03-01 19:58:17.2,2023-03-03 18:39:47,2023-03-03 18:39:47.1,2023-03-03 18:39:47.2,2023-03-03 18:46:56,2023-03-03 18:46:56.1,2023-03-03 18:46:56.2,2023-03-03 18:46:56.3,2023-03-03 18:46:56.4,2023-03-03 18:56:56,2023-03-03 18:56:56.1,2023-03-03 18:56:56.2,2023-03-03 18:56:56.3,2023-03-03 19:06:37,2023-03-03 19:06:37.1,2023-03-03 19:06:37.2,2023-03-03 19:06:37.3,2023-03-03 19:13:56,2023-03-03 19:13:56.1,2023-03-03 19:13:56.2,2023-03-04 12:24:20,2023-03-04 12:24:20.1,2023-03-04 12:24:20.2,2023-03-04 12:31:11,2023-03-04 12:31:11.1,2023-03-04 12:31:11.2,2023-03-04 17:58:04,2023-03-04 18:24:11,2023-03-04 18:24:11.1,2023-03-04 18:24:11.2,2023-03-04 18:24:11.3,2023-03-04 18:24:11.4,2023-03-05 14:47:55,2023-03-05 14:47:55.1,2023-03-05 14:47:55.2,2023-03-05 14:54:18,2023-03-05 14:54:18.1,2023-03-05 14:54:18.2,2023-03-05 14:59:34,2023-03-05 14:59:34.1,2023-03-05 14:59:34.2,2023-03-05 14:59:34.3,2023-03-05 17:46:07,2023-03-05 17:46:07.1,2023-03-05 17:46:07.2,2023-03-05 17:46:07.3,2023-03-05 17:46:07.4,2023-03-05 17:57:40,2023-03-05 17:57:40.1,2023-03-05 17:57:40.2,2023-03-05 17:57:40.3,2023-03-05 17:57:40.4,2023-03-05 18:13:40,2023-03-05 18:13:40.1,2023-03-05 18:13:40.2,2023-03-05 18:13:40.3,2023-03-06 00:53:28,2023-03-06 00:53:28.1,2023-03-06 00:53:28.2,2023-03-06 00:53:28.3,2023-03-06 01:03:16,2023-03-06 01:03:16.1,2023-03-06 01:03:16.2,2023-03-06 01:10:33,2023-03-06 01:10:33.1,2023-03-06 01:10:33.2,2023-03-06 01:10:33.3,2023-03-06 01:10:33.4,2023-03-06 01:21:55,2023-03-06 01:21:55.1,2023-03-06 01:21:55.2,2023-03-06 01:28:25,2023-03-06 01:28:25.1,2023-03-06 01:28:25.2,2023-03-06 01:28:25.3,2023-03-06 01:36:54,2023-03-06 01:36:54.1,2023-03-06 01:36:54.2,2023-03-06 01:48:12,2023-03-06 01:48:12.1,2023-03-06 01:48:12.2,2023-03-06 01:55:26,2023-03-06 01:55:26.1,2023-03-06 01:55:26.2,2023-03-06 01:55:26
Fun13us,1016.0,1030.5304984710244,1043.747133633611,1055.8009426289975,1066.8312456203998,1076.962570542201,1086.304096208553,1094.9504676331364,1070.9832400338885,1048.7865387671795,1060.4076525031765,1071.057816263473,1048.855277527815,1060.470535027972,1039.11555522674,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1051.5725550768495,1033.214842193166,1016.5310628416128,1033.3826939931405,1048.6834837968618,1030.5867016338466,1014.144678740408,999.2153073866332,985.6436762800508,973.2765138084072,961.970738642322,951.5975092928448,971.9277869080292,990.5601659399348,1007.5792918584708,1023.103690340031,1005.2688117277022,1021.0853956304754,1003.5070002788652,1019.5606927810104,1034.1901682053212,1015.538570375384,1030.5972412231974,1044.324615685009,1024.864195383965,1039.1615809717875,1052.203984331884,1064.1323126910777,1075.0763633232589,1085.152402245444,1094.462770086011,1094.462770086011,1094.462770086011,1094.462770086011,1094.462770086011,1094.462770086011,1094.462770086011,1073.7854852513017,1054.8086629502425,1069.4516982122925,1050.6811614218402,1065.525705712855,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1078.9418915255994,1090.6130729288702,1069.2366083320917,1081.5965969519475,1060.8291552775263,1041.78914243782,1056.396824970173,1037.6194476061623,1052.479549886805,1033.9320183509203,1049.012417471937,1032.9248858640556,1050.2484566553264,1065.9485878225514,1080.1757625595933,1065.0549007382926,1083.3124453173157,1099.9033018656694,1114.9674223882437,1128.659231876395,1141.132599584317,1152.5317869287296,1130.987047286893,1143.257044197837,1154.477379763954,1132.7755809312828,1144.8901789223405,1155.9739079795884,1166.1521493298872,1175.5349213735726,1184.2176416857594,1160.2825498485047,1170.119638678304,1179.202380965827,1155.6205573104332,1133.8270555969118,1113.8506549820313,1095.643274021467,1079.098898284435,1064.0768849527817,1082.4226438031858,1067.0953261448317,1085.168384696506,1101.588475146853
L1GHTMAN2k,984.0,969.4695015289756,956.2528663663892,944.1990573710024,933.1687543796,923.0374294577986,913.6959037914468,905.0495323668632,929.0167599661112,951.2134612328202,939.5923474968232,928.9421837365272,951.1447224721852,939.529464972028,960.8844447732596,948.42744492315,969.042655537744,955.864128251558,943.843926799444,932.8431581358768,922.737769324434,913.4190471353876,904.7927740688948,896.7777731496215,889.3042678147074,882.3122819048818,875.75018405591,869.5734134413142,863.7433889036502,858.2265871687734,852.9937695952757,880.0193358555508,905.5938724751176,897.5233371120344,922.000551605894,912.737790205006,936.160847170294,925.7895236718156,948.2370460101024,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493,968.8683288311493
MrBlaBlak,984.0,969.4695015289756,956.2528663663892,944.1990573710024,933.1687543796,923.0374294577986,913.6959037914468,905.0495323668632,929.0167599661112,951.2134612328202,939.5923474968232,928.9421837365272,951.1447224721852,939.529464972028,960.8844447732596,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315,948.42744492315
Test97point3,1016.0,1030.5304984710244,1043.747133633611,1055.8009426289975,1066.8312456203998,1076.962570542201,1086.304096208553,1094.9504676331364,1070.9832400338885,1048.7865387671795,1060.4076525031765,1071.057816263473,1048.855277527815,1060.470535027972,1039.11555522674,1051.5725550768495,1030.9573444622554,1044.1358717484416,1056.1560732005555,1067.1568418641227,1077.2622306755657,1086.580952864612,1095.207225931105,1103.2222268503783,1110.6957321852924,1117.6877180951178,1124.2498159440895,1130.4265865586854,1136.2566110963494,1141.773412831226,1147.0062304047235,1119.9806641444484,1094.4061275248816,1102.476662887965,1077.9994483941052,1087.262209794993,1063.839152829705,1074.2104763281834,1051.7629539898967,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498,1031.1316711688498
zerytoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.3577128836836,1035.041492235237,1018.1898610837096,1002.8890712799885,1020.9858534430036,1037.4278763364423,1052.357247690217,1065.9288787967994,1078.2960412684429,1089.601816434528,1099.9750457840053,1078.511611531908,1058.7575860714037,1040.6564512682944,1024.1081196463974,1040.9869962140845,1024.2330591657644,1040.9335962787854,1024.0235725941852,1008.5899056221588,1026.494497364377,1010.6961215114432,996.2792398136736,1015.1022240398036,1000.165888246164,986.5306575164316,974.0558092865698,962.6096958062936,952.0730982143644,942.3402435618704,963.339224027026,982.6397567665977,1000.3059096619958,1016.4413665528884,999.1727200472018,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404,983.5104812135404
TTVbiohaZard1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.8926461529202,967.4513727124684,953.5143884831148,940.9117964390488,961.4798768735304,948.3444518112022,968.4377224146224,954.8385120811351,942.5169508658438,963.3150865816896,950.3822287247184,938.6384604848382,959.9345145679988,947.476978085186,936.1430177123156,925.7908817463498,916.2957809217698,907.5496746765244,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813,899.4598874131813
spooksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.2405104839928,1034.803430353044,1049.8224234669708,1063.4489486513737,1043.8368702615337,1057.9096484694085,1038.6942361045774,1053.1497776205197,1066.2755303835268,1046.2244007554002,1059.8969636174916,1072.3302390933295,1051.671621085083,1064.7681077737125,1076.6948955162188,1087.593551352853,1097.5907150255275,1106.797379940517,1115.309654015787,1093.0645537417383,1072.51932888527,1053.6439141421913,1036.3581076904125,1052.5488489486752,1067.160280730554,1067.160280730554,1067.160280730554,1067.160280730554,1067.160280730554,1067.160280730554,1067.160280730554,1047.964461871536,1030.45472385606,1014.5117633827118,999.9937449682318,986.7527427041024,974.6456849072584,963.5404824551412,953.3186950778525,975.8760286569905,964.597607382277,951.9517297699588,972.4253475062256,959.1651153496985,979.0956879423512,997.3083155467108,981.9033312902314,999.9260439880104,984.3400280176372,1002.1995653903972,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478,986.4583569874478
pon47k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.5617286753628,1035.428217616911,1050.724872704174,1064.5988802622985,1045.2031342477708,1027.4645218647397,1027.4645218647397,1027.4645218647397,1027.4645218647397,1027.4645218647397,1027.4645218647397,1027.4645218647397,1010.0551639213217,994.285172580797,979.9999517352804,967.0371061606528,955.2398370333606,944.4643201021822,934.5827493163508,925.4837171536622,949.071179605084,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405,938.89203628405
sparkyfan236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.6843911335302,967.0625943088788,952.9752010692964,940.251543072058,960.7251943340098,979.5146137688236,998.5400172705656,1015.9005884087048,999.7118387400296,1017.0095959367936,1000.7571320349416,985.99916298769,1004.7849673899572,1021.895465954051,1037.4580947347645,1051.6194111490531,1064.5293635664275,1076.3311759191713,1087.155933979892,1097.1204467903938,1074.3271018791256,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1085.353625028133,1098.5767813379207,1078.5654469023011,1060.242431387543,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398,1043.5106348693398
DustShelter_Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.123028930689,1034.599911831623,1017.5645428079094,1034.0542168510287,1017.0281103121688,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588,1001.5317741589588
